#,Category,Number of Outlet,Remarks,Group Name/Voucher Name,Length,Merchant Name (Tag),Redemption Type  (Tag),Category,Voucher Type,Require daily cap?,Daily Cap Quantity,Require per user limit?,Per user limit Quantity,Total # of Codes,Campaign Start Date,Campaign End Date,Voucher Expiry Date,Promo Code,Description in Goods,Terms and Conditions in Goods,internal url,CRM Offer Name (Prepaid),CRM Offer Name (Postpaid),CRM Offer ID (Postpaid),CRM Offer ID (Postpaid),In App Thumbnail ,,
,,No of Outlets,,"Appear as the title of the rewards in Rewards Section
Not more than 43 characters. To Appear in MyRewards",,,,Category,,"only allow x number of ""get reward""",,only allow X time per user,,total code for promo period,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,,This can be as descriptive as you want,standard T&C to be included,Do we don’t allow bringing user to external party at the moment.,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Key in Y if partner provide the thumbnail .,,
108,"Monthly Rewards
",1,"Changes fr 32% to 37% + any amendment start from 1/3/2018

-Recreate",Sunway Lagoon: Get 37% off admission ticket,43,Sunway Lagoon,offline,CAT=TRAVEL,"generic promo code
",No,Unlimited,No,Unlimited,"500,000",3/1/18 12:00 AM,12/31/18 11:59 PM,12/31/18 11:59 PM,SUNWAYDG,"MyDigi Reward:
Get 37% off Sunway Lagoon admission ticket","Terms and Conditions:
Valid from now till 31 December 2018
Valid at Sunway Lagoon at 3, Jalan Lagoon Timur, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia
Discount is based on published admission rate (RM180 Adult/RM150 Child)
Present this e-voucher together with Mykad/Mykid at the ticketing counter to enjoy the promotion
A minimum of two (2) tickets and maximum of six (6) tickets can be purchased per voucher
Child denotes those above 90cm in height and age 12 years and below. “Senior Citizen” denotes age from 60 years and above
Non-refundable, not exchangeable for cash & not applicable with other ongoing offers, events and/or promotions
All transactions made are strictly on cash or credit card basis upon purchase
Admission rates are inclusive of GST. Rates may be subjected to further taxes as and when implemented by the state government
This promotion is not valid on Malaysia School Holidays, Malaysia Public Holidays and State Holidays (Selangor & Wilayah Persekutuan only)
Sunway Lagoon Management reserves the right to refuse, alter, amend, delete or add to the stated Terms and Conditions or withdraw this promotion at anytime without prior notice",,Old,,,,Y,,
109,"Monthly Rewards
",1,,GLOW Penang: 60% off,20,GLOW Penang,offline,CAT=TRAVEL,"generic promo code
",No,Unlimited,No,Unlimited,"99,999",2/1/18 12:00 AM,12/31/18 11:59 PM,12/31/18 11:59 PM,GLOWDG,"MyDigi Reward:
60% off on GLOW Penang Room Rate","Terms and Conditions:
Valid from now till 31 December 2018
Discount is based on GLOW Penang rack rate, apply for all room categories
Present the e-voucher from MyDigi app during check-in to enjoy the discount
A maximum of three (3) rooms can be purchased per day
Waive Room Surcharge for MyDigi members on Eve of Malaysia Public Holidays
Room Surcharge of RM80 apply on actual of Malaysia Public Holidays
The room rate is inclusive of breakfast for two
The rate is subject to 6% GST and Tourism Tax (if apply)
The offer apply for weekday and weekend
Advance reservation is required
Room is subject to availability upon reservation
Not valid with other on-going promotions, offers, group purchases, events or functions
The promotion is not exchangeable for cash or for sale
All transactions made are strictly on cash or credit card basis upon purchase
GLOW Penang reserves the right to refuse, alter, amend, delete or add to the stated Terms and Conditions or withdraw this promotion at any time without prior notice
Additional Terms and Conditions in MyDigi Rewards apply
",,,,,,Y,,
110,"Monthly Rewards
",1,,Zest Café: 10% off,18,GLOW Penang,offline,CAT=F&B,"generic promo code
",No,Unlimited,No,Unlimited,"99,999",2/1/18 12:00 AM,12/31/18 11:59 PM,12/31/18 11:59 PM,ZESTDG,"MyDigi Reward:
Enjoy 10% off on total F&B bill when dine-in at ZEST Café","Terms and Conditions:
Valid from now till 31 December 2018
App voucher must be presented at point of redemption
Only original app voucher will be accepted
One voucher is limited to one redemption only
The offer apply for weekday, weekend & public holiday
Not valid with other on-going promotions, offers, group purchases, events or functions
The promotion is not exchangeable for cash or for sale
All transactions made are strictly on cash or credit card basis upon purchase
GLOW Penang reserves the right to refuse, alter, amend, delete or add to the stated Terms and Conditions or withdraw this promotion at any time without prior notice
Additional Terms and Conditions in MyDigi Rewards apply
",,,,,,Y,,
111,"Monthly Rewards
",40,,GUINOT: RM128 for Hydraclean Treatment,38,GUINOT,offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"99,999",2/1/18 12:00 AM,7/31/18 11:59 PM,7/31/18 11:59 PM,GUINOTDG,"MyDigi Reward:
RM128 for GUINOT Hydraclean Treatment worth RM228","Terms and Conditions:
Valid from now till 31 July 2018
Limited to ONE per Digi Subscriber per redemption
Present this e-voucher to enjoy the offer
Applicable for new customers only
Available for redemption at the following participating outlets: http://bit.ly/DigixGUINOT
",,,,,,Y,,
112,"Monthly Rewards
",,,Doublewoot: Up to 35% off,25,Doublewoot,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,Unlimited,11/1/17 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,DOUBLEWOOTDG,"MyDigi Reward:
Up to 35% off","Terms and Conditions:
Valid from now till 30 June 2018
Applicable for items on this page https://www.double-woot.com/digi
Past season/Sale items may have slight defects in terms of measurement, workmanship, zippers, color and fabrics used and are strictly not returnable
Items on this page will change regularly and while stocks last
",,Y,,,,Y,,
113,"Monthly Rewards
",,,HiShop: RM25 Off,16,HiShop,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,Unlimited,11/24/17 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,DIGIHIS,"MyDigi Reward:
RM25 off with minimum spend of RM100 with Free shipping within Malaysia","Terms and Conditions:
Valid from now till 30 June 2018
Valid for non-sales items only
Join as Hishop member at http://www.hishop.my and enter the specific code. 
Unlimited usage on code for every Digi customer and unlimited numbers of Digi customers during the campaign period
Will provide free samples together with the orders (samples are discretion to HiShop Management)",,Y,,,,Y,,
114,"Monthly Rewards
",,,FlyMe360: Free 12 issue (worth RM49.90),39,FlyMe360,online,CAT=TRAVEL,"generic promo code
",No,Unlimited,No,Unlimited,Unlimited,6/1/17 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,Z68DPU21C6,"MyDigi Reward:
Free 12 issue of FlyMe360 Magazine (worth RM49.90)","Terms and Conditions:
Valid from now till 31 May 2018
The 12-issue free subscription worth RM49.90 is valid without any purchase
Order to be made via http://www.flyme360.com/register/digi12/
This promo is only applicable for transactions done in MYR
The promo code is not valid to be used with other promotions/discounts or combinable with other discounts unless otherwise stated
The promo code is not exchangeable for cash
",http://www.flyme360.com/register/digi12/,,,,,Y,,
115,"Monthly Rewards
",1,,Le Méridien KK: 20% Off dining at Latest Recipe,47,Le Méridien,offline,CAT=F&B,"generic promo code
",No,Unlimited,No,Unlimited,"99,999",12/1/17 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,LEMERIDIANDG,"MyDigi Reward:
Enjoy 20% Off when dining at Latest Recipe","Terms and Conditions:
Valid from now till 31 May 2018
Not applicable during Christmas Eve, Christmas Day 2017, New Year's Eve 2017, New year’s Day 2018, Chinese New Year Eve, Chinese New Year Day 1 and Chinese New Year Day 2 2018 and Ramadan Month 2018
For ala carte, applicable to food order only
",,,,,,Y,,
116,"Monthly Rewards
",1,Start date chg fr 12/3 to 15/3,KIT KAT Chocolatory: Buy 1 FREE 1,33,KitKat Chocolatory,offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"500,000",3/15/18 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,KITKATBUY1FREE1DG,"MyDigi Reward:
Enjoy buy 1 Free 1 KIT KAT Special Edition","Terms and Conditions:
Valid from now till 31 May 2018
First come first served, while stocks last
KIT KAT Special Edition of the lowest value will be given for free
Limited to 1 redemption per Digi member
Present this app voucher at KIT KAT Chocolatory Flagship store located at Midvalley Megamall F007 to redeem
MyDigi app voucher can only be used in a single transaction
MyDigi app voucher is not exchangeable for cash
Not valid with other promoters and/or vouchers
Do not click “Redeem” before you claim the voucher at the outlets, otherwise the offer will be invalidated and no replacement code will be provided
The thumbnail visual is for illustration purposes only
KIT KAT Chocolatory reserves the right to change, modify or amend the conditions herein at any time without prior notice
For other Terms and Conditions refer to digi.my/rewardstnc
",,Y,,,,Y,,
117,"Monthly Rewards
",,,Texas Chicken: RM3 Porridge with any 1 Combo Meal,49,Texas Chicken,offline,CAT=F&B,"generic promo code
",No,Unlimited,No,Unlimited,"99,999",3/1/18 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,TCPORRIDGEDG,"MyDigi Reward:
RM3 Porridge with any 1 Combo Meal purchase (excluding Crunchy Deals)","Terms and Conditions:
Valid from now till 31 May 2018
Important: Do not click 'Proceed' before claiming the voucher at any Texas Chicken Malaysia restaurants. Otherwise, promo code cannot be retrieved and Texas Chicken Malaysia will not be able to provide a replacement code
Promotion is not redeemable or exchangeable for cash
App voucher must be presented at point of redemption
Only MyDigi App voucher will be accepted
Promotion is not valid with on-going promotions, vouchers or discounted items
Redeemable at all Texas Chicken Malaysia restaurants except gateway@klia2 & SkyAvenue, Resorts World Genting
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
118,"Monthly Rewards
",,,Honestbee: RM50 off,19,Honestbee,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,DG50HBG,"MyDigi Reward:
RM50 off with minimum spend of RM150","Terms and Conditions:
Valid from now till 31 May 2018
Valid only at honestbee.my or via honestbee app
Valid for New Customers only
First come first served, while stocks last
Not valid with other coupon codes unless otherwise stated
Valid only for the areas which are serviceable by honestbee
Honestbee reserves the right to cancel any fraud order
",,,,,,Y,,
119,"Monthly Rewards
",,,Honestbee: RM35 off,18,Honestbee,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,DG35HBF,"MyDigi Reward:
RM35 off with minimum spend of RM50","Terms and Conditions:
Valid from now till 31 May 2018
Valid only at honestbee.my or via honestbee app
Valid for New Customers only
First come first served, while stocks last
Not valid with other coupon codes unless otherwise stated
Valid only for the areas which are serviceable by honestbee
Honestbee reserves the right to cancel any fraud order
",,Y,,,,Y,,
120,"Monthly Rewards
",,,Honestbee: RM25 off,19,Honestbee,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,DG25HBG,"MyDigi Reward:
RM25 off with minimum spend of RM100","Terms and Conditions:
Valid from now till 31 May 2018
Valid only at honestbee.my or via honestbee app
Valid for ONE TIME USE only
First come first served, while stocks last
Not valid with other coupon codes unless otherwise stated
Valid only for the areas which are serviceable by honestbee
Honestbee reserves the right to cancel any fraud order
",,,,,,Y,,
121,"Monthly Rewards
",,,Honestbee: RM10 off,19,Honestbee,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,DG10HBF,"MyDigi Reward:
RM10 off with no minimum spend","Terms and Conditions:
Valid from now till 31 May 2018
Valid only at honestbee.my or via honestbee app
Valid for ONE TIME USE only
First come first served, while stocks last
Not valid with other coupon codes unless otherwise stated
Valid only for the areas which are serviceable by honestbee
Honestbee reserves the right to cancel any fraud order
",,,,,,Y,,
122,"Monthly Rewards
",,,Zalora: 20% off,15,Zalora,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"99,999",3/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,DG20Z,"MyDigi Reward:
20% off with minimum spend of RM100","Terms and Conditions:
Valid from now till 30 April 2018
Valid only at www.zalora.com.my / ZALORA mobile app and can be used for multiple transactions
Valid with minimum purchase of RM100 and above
The Promo code is only applicable to items sold by ZALORA
Only one Promo Code may be used at a time
Not valid with other voucher code and promotions, unless otherwise stated
Free delivery is only applicable on paid price of RM75 and above
The Promo Code does not apply for certain excluded brands and item as set out at www.zalora.com.my/brand-exclusions
The Terms of Service set out at https://www.zalora.com.my/terms-of-use/ shall apply to all uses of the Promo Code
ZALORA reserves the right to change the Terms and Conditions or cancel any promotions at any time without prior notice
",,,,,,Y,,
123,"Monthly Rewards
",16,,Miracle Hair Expert: FREE 1 Hair Growth Therapy,47,"Miracle Hair Expert
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"99,999",2/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,MHEDG,"MyDigi Reward:
FREE (1) Hair Growth Therapy worth RM650","Terms and Conditions:
Valid from now till 30 April 2018
For new customers aged 21 and above only
Prior appointment booking. Please Call: 03-89556833 or SMS: MH<space>DG4, Name, Age, and Area to 36660 for inquiries or appointment arrangement
Promotion is transferable but is non-refundable and non-exchangeable for cash or any other promotion
Valid daily in accordance to MHE outlets operating hours
All sessions will be carried out in ONE (1) visit only
Free first trial & first visit promo discount is valid for one card (1) per customer once time redemption only
Discount is valid for normal items and package only
MHE reserves the rights to amend any Terms and Conditions without prior notice
",,,,,,Old,,
124,"Monthly Rewards
",,,Kaodim.com: RM25 off,20,Kaodim.com,online,CAT=OTHERS,"unique promo code
",No,Unlimited,Yes,1,"2,000",2/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,,"MyDigi Reward:
RM25 off all services (except House cleaning)","Terms and Conditions:
Valid from now till 30 April 2018
All jobs must be completed and paid by 31 May 2018
Valid for jobs in Klang Valley, Penang and Johor Bahru only
Valid for users who book via Kaodim app and Kaodim website (www.kaodim.com) only
Only requests made with the promo code are eligible for RM25 off the final bill
Only one promo code usage per job request is allowed
The availability of service providers are not guaranteed and are on a best endeavour basis
The redemption is based on first-come-first-served and while stocks last basis
Voucher will not be featured in Digi when its fully redeemed or after the voucher validity end date
The voucher is for one-time redemption only
This voucher is not exchangeable for cash or to be combined with any other offers, promotions or discounts",,,,,,Y,,
125,"Monthly Rewards
",,,Photobook: Free 50pcs 4R photo prints,37,Photobook,online,CAT=OTHERS,"unique promo code
",No,Unlimited,Yes,1,"3,000",3/7/18 12:00 AM,4/7/18 11:59 PM,4/7/18 11:59 PM,,"MyDigi Reward:
Free 50pcs 4R photo prints worth RM25","Terms and Conditions:
Valid from now till 7 April 2018
Coupon codes are valid only on the Photobook App
Only 1 coupon code per order can be applied
Combined shipping is not available
Promotion cannot be used in conjunction with any other discounts, promotional codes, gift certificates, group buying vouchers and coupons
Coupon code must be entered at the time of your ordering and will not be accepted after the order is completed and received
Offer does not qualify for volume discounts
Promotional offers are valid for merchandise only and cannot be used to pay for, nor shall be applied to, applicable taxes or shipping and handling charges
Coupon code is only applicable for the specific value purchased. Value of coupon cannot be used for shipping fees
Self-pick-up option is not available
Offers have no cash value, are not for resale and are not redeemable for cash
No offer substitutions or transfer rights are allowed
We will not be liable to you for any loss and/or damages of any kind suffered in connection with:
a. Your purchase, redemption and/or use of the Coupon;
b. Your inability to use the Coupon because it was misplaced, forgotten, void or as a result of your giving the wrong contact information; or
c. The use of the Coupon by any person(s) not authorized or approved by you
Please see our Return Policy (http://www.photobook.com.my/return-policy). Photobook Worldwide is not responsible for customer generated mistakes. If there is a production/book issue, we will assess the condition of the item(s), and at our sole discretion will decide to either repair or replace the product(s) that does not meet the warranty or condition. Promotional offer discounts are not eligible for credit or a refund
Photobook does NOT accept any amendments or changes to be made to the file ONCE the file is uploaded. Therefore, it is customer’s responsibility to check the proofs thoroughly before uploading their book for processing
Photobook reserves the right to change these Terms and Conditions at its sole discretion and we reserve the right to discontinue promotions and discounts at any time without prior notice
If you require any assistance, please visit our Support (http://www.photobook.com.my/support/form/)
Instructions for Use
•         Download the Photobook App on Apple Store (https://itunes.apple.com/app/id1183692363) or Google Play Store (https://play.google.com/store/apps/details?id=com.photobook.android)
•         Launch the app and select your product
•         Personalise by uploading your favourite photos
•         Apply promotional code at checkout when done
•         Upload your project once your payment is completed",,,,,,Y,,
126,"Monthly Rewards
",,,Photobook: RM20 for a 8' x 8' Canvas Air,40,Photobook,online,CAT=OTHERS,"unique promo code
",No,Unlimited,Yes,1,"3,000",3/7/18 12:00 AM,4/7/18 11:59 PM,4/7/18 11:59 PM,,"MyDigi Reward:
RM20 for a 8""x8"" Canvas Air worth RM79","Terms and Conditions:
Valid from now till 7 April 2018
Coupon codes are valid only on the Photobook App
Only 1 coupon code per order can be applied
Combined shipping is not available
Promotion cannot be used in conjunction with any other discounts, promotional codes, gift certificates, group buying vouchers and coupons
Coupon code must be entered at the time of your ordering and will not be accepted after the order is completed and received
Offer does not qualify for volume discounts
Promotional offers are valid for merchandise only and cannot be used to pay for, nor shall be applied to, applicable taxes or shipping and handling charges
Coupon code is only applicable for the specific value purchased. Value of coupon cannot be used for shipping fees
Self-pick-up option is not available
Offers have no cash value, are not for resale and are not redeemable for cash
No offer substitutions or transfer rights are allowed
We will not be liable to you for any loss and/or damages of any kind suffered in connection with:
a. Your purchase, redemption and/or use of the Coupon;
b. Your inability to use the Coupon because it was misplaced, forgotten, void or as a result of your giving the wrong contact information; or
c. The use of the Coupon by any person(s) not authorized or approved by you
Please see our Return Policy (http://www.photobook.com.my/return-policy). Photobook Worldwide is not responsible for customer generated mistakes. If there is a production/book issue, we will assess the condition of the item(s), and at our sole discretion will decide to either repair or replace the product(s) that does not meet the warranty or condition. Promotional offer discounts are not eligible for credit or a refund
Photobook does NOT accept any amendments or changes to be made to the file ONCE the file is uploaded. Therefore, it is customer’s responsibility to check the proofs thoroughly before uploading their book for processing
Photobook reserves the right to change these Terms and Conditions at its sole discretion and we reserve the right to discontinue promotions and discounts at any time without prior notice
If you require any assistance, please visit our Support (http://www.photobook.com.my/support/form/)
Instructions for Use
•         Download the Photobook App on Apple Store (https://itunes.apple.com/app/id1183692363) or Google Play Store (https://play.google.com/store/apps/details?id=com.photobook.android)
•         Launch the app and select your product
•         Personalise by uploading your favourite photos
•         Apply promotional code at checkout when done
•         Upload your project once your payment is completed",,,,,,Y,,
127,"Monthly Rewards
",,,Lazada Baby Fair: 12% off,25,Lazada,online,CAT=SHOPPING,"unique promo code
",No,Unlimited,Yes,1,"10,000",3/28/18 12:00 AM,4/1/18 11:59 PM,4/1/18 11:59 PM,,"MyDigi Reward:
12% off with maximum discount capped to RM15","Terms and Conditions:
Valid for redemption from 28 March till 1 April 2018 only
Discount of 12% is only applicable with maximum discount capped to RM15 in a single transaction upon checkout on LAZADA’s platform
Available to first ten thousand (10,000) redemptions only
The discount is exclusive of shipping/courier charges
The discount is only for one (1) time redemption per Lazada registered customer and is not valid in conjunction with any other vouchers, offers or promotions and product exclusion may apply
The discount is applicable on LAZADA's website, mobile web and applications
No cash alternatives or refund will be offered in lieu of discount entitlement
Lazada reserves the right to alter, cancel, terminate or suspend the order or any part thereof or any part of the applicable Terms and Conditions from time to time, with or without any prior notice
Contact Lazada customer service hotline at 03-86011888 to report any issues pertaining to the usage of this discount
",,,,,,Y,"



",
128,"Monthly Rewards
",128,"Birthday Campaign
(Digi Birthday Club)",Birthday Special: Get FREE Single King Scoop,44,Baskin-Robbins,offline,CAT=F&B,"unique promo code
",No,Unlimited,Yes,1,"1,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,,"MyDigi Reward:
FREE Baskin-Robbins Single King Scoop ice-cream (worth RM14.50) with Baskin-Robbins Birthday Cake purchase","Terms and Conditions:
Valid from now till 30 April 2018
Limited to one usage during birthday month per Digi Subscribers
Valid at all Baskin-Robbins outlets in Malaysia
Holder is entitled to one (1) Single King scoop ice-cream of any flavor with purchase of any ice-cream cake
This voucher is not valid with other promotions or discounts
Product shown is for illustration purposes only
Voucher is not refundable, exchangeable for cash or with vouchers of other denominations
Golden Scoop Sdn Bhd accepts no responsibility for the loss, theft or destruction of the voucher and has no obligation to replace or refund value for lost, stolen or damaged voucher
Golden Scoop Sdn Bhd reserves the right to revise the Terms and Conditions without prior notice
",,,,,,Old,,
129,"Monthly Rewards
",,,RebateMango: Up to FREE RM100 cashback,38,RebateMango,online,CAT=SHOPPING,"embedded promo code
",No,Unlimited,Yes,1,"9,999",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,,"MyDigi Reward:
Instantly get up to FREE RM100 cashback into your account when you choose your cashback withdrawal/payout level!","Terms and Conditions:
Valid from now till 30 April 2018
Additional 10% Cashback Promotion is valid upon signing up with RebateMango.com and will be applied to all purchases for 1 year upon sign-up
Additional 10% cashback is applied on the cashback earned from shopping online with RebateMango.com via designated URL: www.rebatemango.com/digi
The amount is dependent on the cashback withdrawal amount selected. No changes can be made upon selection. Applicable only to new sign-ups and no changes can be made after selection is made
This promotion is valid for all merchants on RebateMango.com
Cashback earned will be tracked in your RebateMango account upon successfully completed transaction. The amount varies based on the merchant offer and the amount spent. The time period required for the amount to become available for withdrawal varies from merchant to merchant and is indicated clearly in partner pages prior to shopping
Cashback earned can only be withdrawn once the amount exceeds the minimum payment threshold of RM10 for Malaysian Shoppers. This does not include RebateMango members who have previously pre-selected a different minimum cashback withdrawal amount
25,000 Mangoes issued are valid for 1 year from date of sign-up
2.5 Mangoes is earned for every RM1 spent and you must be a RebateMango.com member to earn Mangoes
Mangoes earned are status points that are not transferable and non-cumulative and cannot be exchanged for cash or other products, and cannot be used in conjunction with other discounts, promotions, discounted items and fixed priced items unless otherwise stated
The promotion is available to qualifying and eligible subscribers of Digi Telecommunication Sdn Bhd
Digi Telecommunications Sdn Bhd reserves the right to change the Terms and Conditions or cancel any promotion at any time without prior notice",online-www.digi.my/redeemmangoAug17,,,,,Old,,
130,"Monthly Rewards
",,,Agoda: Additional 10% off in April,34,Agoda,online,CAT=TRAVEL,"embedded promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,Link - new link,"MyDigi Reward:
Additional 10% off on your booking","Terms and Conditions:
Valid from now till 30 April 2018
Click on the Redeem button once you get this reward to enjoy the additional discount
Based on first 5,000 successful hotel bookings on Agoda App (link via the Redeem button)
The App Link is valid for bookings made within the same month and can be used for hotel stay between now till 31 December 2018
The promotion code entitles you to the discount on hotel room charges (excluding local taxes and service fees) and can only be redeemed for bookings made via the Agoda Mobile Application
The promotion code is applicable for booking ‘promotion eligible’ and ‘prepaid only’ merchant hotels made through this dedicated Agoda Mobile Application for Digi Customers
The promotion code is not valid for ‘book now pay later’ or ‘book now pay directly at hotel’ bookings
Upon payment details page, click promotions. If the hotel is promotion eligible, it will open up your coupons
Certain hotels may be excluded from this promotion
If the promotion box is not available on the booking screen, it means the hotel is not eligible for the coupon
Choose the coupon you want to use and click ‘Apply’
The promotion is for one-time usage only
Change of stay date is not permitted. In the event of cancellation, the promotion code has no cash or refund value
The promotion code is not transferable and non-cumulative and cannot be exchanged for cash or other products, and cannot be used in conjunction with other discounts, promotions, discounted items and fixed priced items unless specified
The offer is bound by the terms and conditions of Digi Telecommunications Sdn Bhd and Agoda. In case of dispute, the decision of Agoda shall be final
Digi Telecommunications Sdn Bhd and Agoda reserves the right to change the Terms and Conditions at any point of time
","http://digi.my/redeemagodaapr18

online-digi.my/redeemagodaapr18",,,,,Old,,
131,"Monthly Rewards
",,,Agoda: Additional 8% off in April,33,Agoda,online,CAT=TRAVEL,"unique promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,,"MyDigi Reward:
Additional 8% off on your booking","Terms and Conditions:
Valid from now till 30 April 2018
Promo code is only valid at www.agoda.com/digi and not valid on Agoda Mobile Application, based on first come first serve basis
To redeem, look for Promotion Code box when entering booking details during booking
The unique code can only be used one time throughout the validity period
The monthly promotion code is valid for bookings made within the same month and can be used for hotel stay from now till 31 December 2018
This promotion is only valid for hotels that have the “Promotion Eligible” banner on the search results page
There is strictly no extension of validity of the promotion codes
Discount is applicable to booking merchant hotels (prepaid only)
Discount is applicable to hotel rooms charges only (excluding local taxes, service fees and additional charges)
Change of stay date is not permitted. In the event of cancellation, the promotion code has no cash or refund value
The promotion is available to qualifying and eligible subscribers of Digi Telecommunication Sdn Bhd
This offer is not transferable and non-cumulative and cannot be exchanged for cash or other products, and cannot be used in conjunction with other discounts, promotions, discounted items and fixed priced items unless otherwise stated
Digi Telecommunications Sdn Bhd reserves the right to change the Terms and Conditions or cancel any promotion at any time without prior notice",,,,,,Old,,
132,"Monthly Rewards
",128,,Baskin-Robbins: FREE upsize to Single King scoop,48,Baskin-Robbins,offline,CAT=F&B,"unique promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,,"MyDigi Reward:
FREE upsize Single Regular to Single King scoop worth RM3.50","Terms and Conditions:
Valid from now till 30 April 2018
Valid at all Baskin-Robbins outlets in Malaysia except for Baskin-Robbins Premium outlets (Genting Highlands, Genting Premium Outlet, Johor Premium Outlet, KLIA, One Borneo, Suria Sabah, City One, Viva City and Imago)
Holder is entitled to one (1) Single King scoop ice cream of any flavor
This voucher is not valid with other promotions or discounts
Product shown is for illustration purposes only
Voucher is not refundable, exchangeable for cash or with vouchers of other denominations
Golden Scoop Sdn Bhd accepts no responsibility for the loss, theft or destruction of the voucher and has no obligation to replace or refund value for lost, stolen or damaged voucher
Golden Scoop Sdn Bhd reserves the right to revise the Terms and Conditions without prior notice
",,,,,,Old,,
133,"Monthly Rewards
",29,,Juice Works: FREE upsize on regular priced drinks,49,Juice Works,offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,DGUPSIZE,"MyDigi Reward:
Get FREE upsize on regular priced drinks","Terms and Conditions:
Valid for redemption till 30 April 2018 at all Juice Works & Juice Works2Go outlets in Malaysia
Limited to one transaction per customer only
Applicable on regular priced drinks only
Applicable for upsize to next size up, example: Junior (250ml) to Midi (450ml) or Midi (450ml) to Power (600ml)
Excluding Detox category
Present this e-voucher at counter to enjoy the offer
Cannot combine with other promotions/discounts/offers/vouchers/VIP privileges
Juice Works reserves the right to amend the promotion mechanics without prior notice
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
134,"Monthly Rewards
",1,,Kung Fu Panda Kitchen: Buy 1 FREE 1,35,"Kung Fu Panda Kitchen
",offline,CAT=F&B,"generic promo code
",No,Unlimited,No,Unlimited,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,DGPANDA,"MyDigi Reward:
Enjoy Buy 1 FREE 1 at Kung Fu Panda Kitchen
","Terms and Conditions:
Valid from now till 30 April 2018
Valid for dinner and supper (including weekends and Public Holidays) at DreamWorks Kung Fu Panda Kitchen, LG1, Sunway Pyramid (beside Sunway Clio Hotel) only
One adult eats for free with every one (1) full paying adult. If a senior citizen or a child dines with an adult, the one of lesser value eats for free
Reservations necessary. Call 03-5650 5117 or WhatsApp 017-230 8328 to book a table
",,,,,,Y,,
135,"Monthly Rewards
",,,Shopee: RM70 off on Honor 9 Lite,32,Shopee,online,CAT=SHOPPING,"unique promo code
",No,Unlimited,Yes,1,"3,001",4/1/18 12:00 AM,4/14/18 11:59 PM,4/30/18 11:59 PM,,"MyDigi Reward:
RM70 off on Honor 9 Lite
","Terms and Conditions:
Valid from now till 30 April 2018
Voucher is only applicable for the Honor 9 Lite phone in Honor's Official Shop in Shopee
Limited to 1st 700 redemptions only. First come first served, while stocks last
Voucher is valid for order(s) made via Shopee mobile app only
Voucher is valid for order(s) made with Shopee Guarantee only
",,,,,,Y,,
